Date,CE16OV,EXUSEU,M1SL,M1V,UNRATE,Market Value,Estimate,Sigma,Recommended Percent Stock
2000-12-28,137756.84,0.93,1095.65,9.51,4.16,42.721367,39.00,-0.9880,0.0015
2001-01-04,137761.94,0.94,1097.14,9.50,4.20,42.942535,38.82,-1.0936,-0.0698
2001-01-11,137724.45,0.93,1098.15,9.50,4.20,43.321732,38.95,-1.1599,-0.1146
2001-01-18,137686.97,0.93,1099.17,9.50,4.20,43.648262,39.08,-1.2121,-0.1499
2001-01-25,137649.48,0.92,1100.18,9.50,4.20,43.858898,39.21,-1.2337,-0.1644
2001-02-01,137612.00,0.92,1101.20,9.50,4.20,44.261684,39.34,-1.3062,-0.2134
2001-02-08,137654.75,0.92,1103.15,9.50,4.23,43.850491,39.18,-1.2397,-0.1685
2001-02-15,137697.50,0.91,1105.10,9.50,4.25,43.304451,39.02,-1.1375,-0.0994
2001-02-22,137740.25,0.91,1107.05,9.50,4.28,41.531559,38.86,-0.7097,0.1895
2001-03-01,137783.00,0.91,1109.00,9.50,4.30,42.030399,38.70,-0.8847,0.0713
2001-03-08,137673.71,0.90,1110.74,9.49,4.32,42.542717,38.80,-0.9929,-0.0018
2001-03-15,137564.42,0.90,1112.48,9.48,4.35,39.664299,38.91,-0.2013,0.5329
2001-03-22,137455.13,0.90,1114.22,9.47,4.37,39.35775,39.01,-0.0922,0.6066
2001-03-29,137345.84,0.89,1115.95,9.46,4.39,40.121368,39.11,-0.2671,0.4885
2001-04-05,137271.40,0.89,1116.94,9.46,4.39,38.959042,39.30,0.0900,0.7297
2001-04-12,137223.10,0.89,1117.36,9.46,4.36,40.803925,39.54,-0.3353,0.4424
2001-04-19,137174.80,0.88,1117.78,9.46,4.34,42.236588,39.78,-0.6511,0.2291
2001-04-26,137126.50,0.88,1118.20,9.46,4.32,43.081314,40.02,-0.8110,0.1211
2001-05-03,137077.87,0.87,1119.00,9.46,4.31,43.013744,40.19,-0.7506,0.1619
2001-05-10,137028.42,0.87,1120.74,9.46,4.36,42.446075,40.14,-0.6119,0.2556
2001-05-17,136978.97,0.86,1122.47,9.46,4.40,44.128792,40.10,-1.0703,-0.0541
2001-05-24,136929.52,0.86,1124.21,9.46,4.45,43.42598,40.05,-0.8957,0.0638
2001-05-31,136880.06,0.85,1125.95,9.46,4.49,43.250259,40.01,-0.8611,0.0873
2001-06-07,136912.60,0.85,1128.74,9.39,4.52,43.148903,38.73,-1.1717,-0.1225
2001-06-14,136958.80,0.86,1131.70,9.30,4.54,41.371586,37.26,-1.0918,-0.0686
2001-06-21,137005.00,0.86,1134.67,9.22,4.57,41.709087,35.78,-1.5731,-0.3937
2001-06-28,137051.20,0.86,1137.63,9.13,4.59,41.926117,34.30,-2.0224,-0.6972
2001-07-05,136963.90,0.87,1140.35,9.10,4.64,40.89526,33.95,-1.8427,-0.5758
2001-07-12,136776.48,0.88,1142.87,9.10,4.71,41.471722,34.44,-1.8660,-0.5916
2001-07-19,136589.06,0.88,1145.40,9.10,4.77,41.017323,34.93,-1.6158,-0.4225
2001-07-26,136401.65,0.89,1147.93,9.10,4.84,41.119061,35.42,-1.5131,-0.3532
2001-08-02,136260.52,0.90,1151.89,9.10,4.90,41.342861,35.90,-1.4452,-0.3073
2001-08-09,136397.13,0.90,1164.42,9.10,4.93,40.501896,36.32,-1.1087,-0.0800
2001-08-16,136533.74,0.91,1176.95,9.10,4.95,39.477821,36.75,-0.7236,0.1801
