Date,IPMAN,M1SL,M2MSL,M2SL,M3SL,UNRATE,WTB3MS,Market Value,Estimate,Sigma,Recommended Percent Stock
2013-12-26,100.43591612903225,2691.6,10493.258064516129,11056.706451612903,10298.7,6.619354838709677,0.051774193548387096,76.1954,72.37887287940127,-0.9838373747158997,0.3216317526252588
2014-01-02,100.23617419354838,2699.148387096774,10507.354838709678,11069.112903225807,10298.7,6.603225806451612,0.048145161290322584,75.8819,72.41131782777879,-0.8946585063224337,0.38026909568289147
2014-01-09,100.48519354838709,2705.7870967741933,10526.63870967742,11087.40322580645,10298.7,6.625806451612903,0.049161290322580646,76.1954,72.78187597276577,-0.8799498631512187,0.38994039754038434
2014-01-16,100.7342129032258,2712.425806451613,10545.922580645161,11105.693548387097,10298.7,6.648387096774194,0.05017741935483871,76.3118,73.15243411775279,-0.8144321099097688,0.43301996383667196
2014-01-23,100.98323225806452,2719.064516129032,10565.206451612903,11123.983870967742,10298.7,6.670967741935484,0.05119354838709678,75.2639,73.52299226273979,-0.4487771326461815,0.6734472839943563
2014-01-30,101.23225161290323,2725.7032258064514,10584.490322580645,11142.274193548386,10298.7,6.693548387096774,0.05220967741935484,74.0547,73.89355040772676,-0.04154169138296673,0.9412148022949938
2014-02-06,101.4588107142857,2732.6178571428572,10598.07142857143,11154.910714285714,10298.7,6.7,0.0525,73.0426,74.27967015141891,0.31889616178607316,1.1782117324867898
2014-02-13,101.67638571428571,2739.642857142857,10609.371428571429,11165.285714285714,10298.7,6.7,0.0525,74.9683,74.67201453459319,-0.07637747754471232,0.918309399023491
2014-02-20,101.89396071428571,2746.667857142857,10620.67142857143,11175.660714285714,10298.7,6.7,0.0525,75.5057,75.06435891776741,-0.11377040905970925,0.8937226085351729
2014-02-27,102.11153571428571,2753.692857142857,10631.971428571429,11186.035714285714,10298.7,6.7,0.0525,76.0342,75.45670330094165,-0.14886906822753712,0.8706443596678926
