Date,INDPRO,TCU,UNRATE,WPRIME,WTB3MS,Market Value,Estimate,Sigma,Recommended Percent Stock
2010-03-18,92.80211612903226,72.1305129032258,9.9,3.25,0.15658064516129033,46.168095,38.79230624141677,-0.9728559655389998,0.4753418186910791
2010-03-25,92.88105806451613,72.2281064516129,9.9,3.25,0.15929032258064516,46.357143,38.695674001813664,-1.0105367796771578,0.45784046757089025
2010-04-01,92.96,72.3257,9.9,3.25,0.162,47.034573,38.59904176221057,-1.1126344796173877,0.4104198442089293
2010-04-08,93.27238666666666,72.60616666666667,9.83,3.25,0.16153333333333333,47.785881,38.9815660963799,-1.1612765165628196,0.38782740858209075
2010-04-15,93.58477333333333,72.88663333333334,9.76,3.25,0.16106666666666666,47.653782,39.36409043054933,-1.093398436395503,0.41935427819846494
2010-04-22,93.89716,73.16709999999999,9.69,3.25,0.1606,48.685795,39.74661476471878,-1.1790650605064394,0.3795652847242378
2010-04-29,94.20954666666667,73.44756666666666,9.62,3.25,0.16013333333333335,47.521694,40.12913909888817,-0.9750673957076093,0.4743146907814563
2010-05-06,94.32026774193548,73.56915161290323,9.567741935483872,3.25,0.15314516129032257,44.599056,40.23579761304601,-0.5755075273809251,0.6598955416484849
2010-05-13,94.35032258064516,73.62718387096774,9.522580645161291,3.25,0.1435483870967742,45.556763,40.23210979919927,-0.70231412536011,0.6009985446926003
2010-05-20,94.38037741935484,73.68521612903226,9.477419354838709,3.25,0.1339516129032258,43.64962,40.228421985352604,-0.4512511145288301,0.7176080714862482
2010-05-27,94.41043225806452,73.74324838709677,9.432258064516128,3.25,0.12435483870967741,43.756939,40.224734171505865,-0.46589275416914766,0.7108075688383774
2010-06-03,94.45884,73.81512000000001,9.4,3.25,0.12019999999999999,42.568077,40.20905218734717,-0.31115199159861245,0.7826789569783231
2010-06-10,94.55313,73.92159,9.4,3.25,0.12965,43.64962,40.16338477740914,-0.4598294290387417,0.7136237601678433
2010-06-17,94.64742,74.02806,9.4,3.25,0.1391,44.61557,40.11771736747106,-0.5932603154583272,0.6516500250743011
2010-06-24,94.74171,74.13453,9.4,3.25,0.14855000000000002,42.840527,40.07204995753292,-0.36515815384322536,0.7575950826057759
2010-07-01,94.836,74.241,9.4,3.25,0.158,40.753929,40.026382547594835,-0.09596233427990097,0.8826266315789651
2010-07-08,94.90516451612903,74.32364516129032,9.422580645161291,3.25,0.15788709677419355,43.102398,39.86336387976829,-0.42722395795091334,0.728767801266716
2010-07-15,94.97432903225807,74.40629032258065,9.44516129032258,3.25,0.1577741935483871,42.538113,39.70034521194166,-0.374297503872286,0.7533501909406852
2010-07-22,95.0434935483871,74.48893548387096,9.467741935483872,3.25,0.15766129032258064,43.948849,39.537326544115004,-0.5818734888960349,0.6569387868584995
2010-07-29,95.11265806451614,74.57158064516129,9.490322580645161,3.25,0.15754838709677418,44.139706,39.37430787628837,-0.6285491822723677,0.6352596454375544
2010-08-05,95.1691,74.64199354838709,9.5,3.25,0.15620967741935485,44.820179,39.25556822160314,-0.7339641859138412,0.5862982566177427
2010-08-12,95.21600000000001,74.70323225806452,9.5,3.25,0.15395161290322582,43.260071,39.17003782677396,-0.5394695133039124,0.676633872612449
2010-08-19,95.2629,74.76447096774194,9.5,3.25,0.15169354838709678,42.787052,39.084507431944715,-0.48836032166931237,0.7003722107753801
