DATE,TOTALSL
1979-01-01,309.9031
1979-02-01,313.5238
1979-03-01,317.2007
1979-04-01,320.9449
1979-05-01,325.1774
1979-06-01,328.1727
1979-07-01,331.9900
1979-08-01,335.7855
1979-09-01,339.4498
1979-10-01,343.2513
1979-11-01,346.3894
1979-12-01,348.5891
1980-01-01,350.4757
1980-02-01,353.0562
1980-03-01,353.0421
1980-04-01,351.2872
1980-05-01,348.6445
1980-06-01,346.6970
1980-07-01,347.0714
1980-08-01,347.5460
1980-09-01,348.1631
1980-10-01,349.5977
1980-11-01,350.0045
1980-12-01,351.9201
1981-01-01,353.0293
1981-02-01,354.7450
1981-03-01,357.1271
1981-04-01,359.1329
1981-05-01,361.2328
1981-06-01,362.7435
1981-07-01,364.6777
1981-08-01,365.1545
1981-09-01,369.5957
1981-10-01,370.4567
1981-11-01,371.7599
1981-12-01,371.3014
1982-01-01,375.1674
1982-02-01,376.3771
1982-03-01,376.8854
1982-04-01,378.6343
1982-05-01,380.4388
1982-06-01,381.9856
1982-07-01,382.4471
1982-08-01,382.8626
1982-09-01,384.3553
1982-10-01,384.9672
1982-11-01,386.7667
1982-12-01,389.8487
1983-01-01,391.8277
1983-02-01,392.3610
1983-03-01,395.5831
1983-04-01,398.4267
1983-05-01,399.9537
1983-06-01,404.8326
1983-07-01,409.4752
1983-08-01,413.9936
1983-09-01,417.8209
1983-10-01,423.7730
1983-11-01,429.9774
1983-12-01,437.0689
1984-01-01,441.9911
1984-02-01,451.9070
1984-03-01,456.5502
1984-04-01,462.1412
1984-05-01,472.4443
1984-06-01,480.9945
1984-07-01,487.1488
1984-08-01,494.1176
1984-09-01,498.4964
1984-10-01,504.6587
1984-11-01,510.1541
1984-12-01,517.2790
1985-01-01,523.9794
1985-02-01,532.4484
1985-03-01,541.7572
1985-04-01,549.3487
1985-05-01,555.8421
1985-06-01,561.2066
1985-07-01,567.6530
1985-08-01,573.2993
1985-09-01,582.1484
1985-10-01,588.3075
1985-11-01,594.4778
1985-12-01,599.7112
1986-01-01,605.7030
1986-02-01,610.6783
1986-03-01,613.3766
1986-04-01,619.6577
1986-05-01,625.8200
1986-06-01,630.0558
1986-07-01,635.1510
1986-08-01,638.9044
1986-09-01,646.0232
1986-10-01,653.7873
1986-11-01,653.7673
1986-12-01,654.7502
1987-01-01,653.2675
1987-02-01,652.5323
1987-03-01,651.1977
1987-04-01,656.4014
1987-05-01,658.4700
1987-06-01,662.8975
1987-07-01,667.6598
1987-08-01,672.2251
1987-09-01,676.2112
1987-10-01,681.1845
1987-11-01,684.7100
1987-12-01,686.3188
1988-01-01,692.2710
1988-02-01,696.3873
1988-03-01,700.7012
1988-04-01,705.8681
1988-05-01,710.0459
1988-06-01,713.1892
1988-07-01,716.1130
1988-08-01,721.5356
1988-09-01,722.9477
1988-10-01,726.1053
1988-11-01,729.6601
1988-12-01,731.9178
1989-01-01,749.0231
1989-02-01,752.8930
1989-03-01,760.0183
1989-04-01,764.7125
1989-05-01,769.2757
1989-06-01,773.2271
1989-07-01,776.2601
1989-08-01,778.8765
1989-09-01,781.8221
1989-10-01,785.5457
1989-11-01,790.2973
1989-12-01,794.6122
1990-01-01,797.7149
1990-02-01,798.7732
1990-03-01,798.7481
1990-04-01,798.7470
1990-05-01,799.7510
1990-06-01,802.8927
1990-07-01,806.8875
1990-08-01,808.7586
1990-09-01,810.4362
1990-10-01,812.6551
1990-11-01,813.6627
1990-12-01,808.2306
1991-01-01,806.6005
1991-02-01,807.0304
1991-03-01,808.3518
1991-04-01,807.8190
1991-05-01,807.8322
1991-06-01,805.9947
1991-07-01,804.0276
1991-08-01,802.0219
1991-09-01,800.8893
1991-10-01,798.6170
1991-11-01,798.2750
1991-12-01,798.0290
1992-01-01,798.9827
1992-02-01,799.6404
1992-03-01,799.4421
1992-04-01,797.6581
1992-05-01,797.6679
1992-06-01,797.2763
1992-07-01,798.0682
1992-08-01,799.8238
1992-09-01,800.1989
1992-10-01,799.5560
1992-11-01,802.6980
1992-12-01,806.1187
1993-01-01,809.3254
1993-02-01,814.0589
1993-03-01,813.6563
1993-04-01,819.7569
1993-05-01,819.7591
1993-06-01,823.8118
1993-07-01,829.5187
1993-08-01,834.2355
1993-09-01,840.6030
1993-10-01,847.6166
1993-11-01,856.5234
1993-12-01,865.6506
1994-01-01,872.0218
1994-02-01,880.3529
1994-03-01,891.3332
1994-04-01,900.9895
1994-05-01,912.8637
1994-06-01,924.2160
1994-07-01,931.1347
1994-08-01,944.8032
1994-09-01,957.3756
1994-10-01,968.4687
1994-11-01,981.4261
1994-12-01,997.3017
1995-01-01,1010.3950
1995-02-01,1018.5591
1995-03-01,1033.6321
1995-04-01,1043.6952
1995-05-01,1057.4708
1995-06-01,1069.3779
1995-07-01,1077.7370
1995-08-01,1089.6021
1995-09-01,1106.6127
1995-10-01,1113.5285
1995-11-01,1132.1602
1995-12-01,1140.7444
1996-01-01,1153.2703
1996-02-01,1163.0938
1996-03-01,1171.6843
1996-04-01,1180.9031
1996-05-01,1191.1137
1996-06-01,1200.9500
1996-07-01,1211.8974
1996-08-01,1220.5030
1996-09-01,1225.2718
1996-10-01,1231.3361
1996-11-01,1242.4219
1996-12-01,1253.4371
1997-01-01,1258.3653
1997-02-01,1261.8508
1997-03-01,1264.1463
1997-04-01,1274.0874
1997-05-01,1278.6784
1997-06-01,1282.8585
1997-07-01,1288.7820
1997-08-01,1294.2192
1997-09-01,1301.6350
1997-10-01,1309.3894
1997-11-01,1312.4572
1997-12-01,1324.7573
1998-01-01,1320.0440
1998-02-01,1324.3427
1998-03-01,1332.9034
1998-04-01,1360.4563
1998-05-01,1363.0809
1998-06-01,1373.9423
1998-07-01,1380.7209
1998-08-01,1386.6665
1998-09-01,1397.2897
1998-10-01,1405.3967
1998-11-01,1408.4427
1998-12-01,1420.9964
1999-01-01,1431.2369
1999-02-01,1441.3146
1999-03-01,1450.8788
1999-04-01,1457.6706
1999-05-01,1468.1466
1999-06-01,1479.3153
1999-07-01,1492.3776
1999-08-01,1503.2266
1999-09-01,1511.0593
1999-10-01,1517.2818
1999-11-01,1525.3344
1999-12-01,1531.1060
2000-01-01,1538.5202
2000-02-01,1549.1853
2000-03-01,1561.4507
2000-04-01,1570.5277
2000-05-01,1583.5079
2000-06-01,1609.5480
2000-07-01,1629.7514
2000-08-01,1651.6154
2000-09-01,1669.0008
2000-10-01,1684.5993
2000-11-01,1700.9445
2000-12-01,1716.9697
2001-01-01,1729.8517
2001-02-01,1748.7020
2001-03-01,1760.5418
2001-04-01,1773.0983
2001-05-01,1781.1775
2001-06-01,1792.3681
2001-07-01,1797.3506
2001-08-01,1806.3590
2001-09-01,1814.2524
2001-10-01,1829.8403
2001-11-01,1857.8428
2001-12-01,1867.8529
2002-01-01,1867.4187
2002-02-01,1881.9054
2002-03-01,1894.6903
2002-04-01,1903.9580
2002-05-01,1914.6140
2002-06-01,1927.1810
2002-07-01,1939.2114
2002-08-01,1947.5001
2002-09-01,1950.6514
2002-10-01,1957.1513
2002-11-01,1965.1791
2002-12-01,1972.1122
2003-01-01,1982.5613
2003-02-01,1993.4057
2003-03-01,2001.2082
2003-04-01,2014.0998
2003-05-01,2027.5025
2003-06-01,2033.2684
2003-07-01,2040.0644
2003-08-01,2049.1243
2003-09-01,2057.0908
2003-10-01,2065.4951
2003-11-01,2066.4001
2003-12-01,2077.3607
2004-01-01,2088.2430
2004-02-01,2095.3404
2004-03-01,2109.7203
2004-04-01,2112.7162
2004-05-01,2120.8392
2004-06-01,2127.9894
2004-07-01,2137.0930
2004-08-01,2143.4351
2004-09-01,2160.1483
2004-10-01,2176.7193
2004-11-01,2183.7464
2004-12-01,2192.2462
2005-01-01,2196.7776
2005-02-01,2211.5587
2005-03-01,2220.1992
2005-04-01,2232.5354
2005-05-01,2232.6715
2005-06-01,2247.8334
2005-07-01,2257.2309
2005-08-01,2267.0449
2005-09-01,2271.6333
2005-10-01,2276.8431
2005-11-01,2283.6613
2005-12-01,2290.9281
2006-01-01,2367.4711
2006-02-01,2374.9773
2006-03-01,2385.8079
2006-04-01,2397.6806
2006-05-01,2407.1615
2006-06-01,2395.8132
2006-07-01,2403.0993
2006-08-01,2415.7320
2006-09-01,2426.8132
2006-10-01,2429.3999
2006-11-01,2440.7491
2006-12-01,2456.7157
2007-01-01,2457.9456
2007-02-01,2470.0499
2007-03-01,2484.4332
2007-04-01,2493.7298
2007-05-01,2510.0161
