DATE,TWEXMMTH
2009-05-01,79.0834
2009-06-01,77.162
2009-07-01,76.5499
2009-08-01,75.3546
2009-09-01,74.0794
2009-10-01,72.847
2009-11-01,72.423
2009-12-01,73.3012
2010-01-01,73.845
2010-02-01,75.5286
2010-03-01,75.2227
2010-04-01,75.405
2010-05-01,78.5014
2010-06-01,79.0684
2010-07-01,76.7715
2010-08-01,75.9504
2010-09-01,74.9907
2010-10-01,72.304
2010-11-01,72.8305
2010-12-01,73.795
2011-01-01,72.9286
2011-02-01,71.9778
2011-03-01,70.7821
2011-04-01,69.5138
2011-05-01,69.6158
2011-06-01,69.53
2011-07-01,69.0928
2011-08-01,69.0608
2011-09-01,71.1978
2011-10-01,71.6319
2011-11-01,72.2681
2011-12-01,73.2866
2012-01-01,73.4249
2012-02-01,72.3476
2012-03-01,73.0206
2012-04-01,72.8921
2012-05-01,74.0058
2012-06-01,75.1149
2012-07-01,75.3163
2012-08-01,74.3463
2012-09-01,72.6769
2012-10-01,72.8408
2012-11-01,73.7026
2012-12-01,73.217
2013-01-01,73.6595
2013-02-01,74.6554
2013-03-01,76.3079
2013-04-01,76.2644
2013-05-01,76.9624
2013-06-01,76.2392
2013-07-01,77.2138
2013-08-01,76.3072
2013-09-01,76.004
2013-10-01,75.0477
2013-11-01,76.0304
2013-12-01,76.1944
2014-01-01,77.0804
2014-02-01,76.9348
2014-03-01,76.591
2014-04-01,76.3464
2014-05-01,76.2194
2014-06-01,76.445
2014-07-01,76.3256
2014-08-01,77.548
2014-09-01,79.5846
2014-10-01,80.8237
2014-11-01,82.7119
2014-12-01,84.0903
2015-01-01,87.4521
2015-02-01,89.0883
2015-03-01,91.7154
2015-04-01,90.888
2015-05-01,89.1074
2015-06-01,89.6013
2015-07-01,91.5521
2015-08-01,91.7202
2015-09-01,91.5195
2015-10-01,91.0642
2015-11-01,93.7724
2015-12-01,93.9229
2016-01-01,95.0244
2016-02-01,92.9536
2016-03-01,91.3695
2016-04-01,89.2799
2016-05-01,89.6345
2016-06-01,89.4706
2016-07-01,90.8375
2016-08-01,89.769
2016-09-01,90.0226
2016-10-01,91.8347
2016-11-01,93.5941
2016-12-01,95.3919
2017-01-01,94.5537
2017-02-01,93.9225
2017-03-01,94.4366
2017-04-01,93.9417
2017-05-01,93.1476
2017-06-01,91.7083
2017-07-01,89.5133
2017-08-01,88.157
2017-09-01,87.0803
2017-10-01,88.6866
2017-11-01,89.1571
2017-12-01,88.7488
2018-01-01,86.3234
2018-02-01,85.7143
2018-03-01,86.2478
2018-04-01,86.3533
2018-05-01,88.6914
2018-06-01,89.7394
2018-07-01,90.0754
