DATE,IPMAN
2003-09-01,94.3049
2003-10-01,94.4038
2003-11-01,95.3852
2003-12-01,95.1658
2004-01-01,95.2002
2004-02-01,95.8917
2004-03-01,95.7315
2004-04-01,96.1026
2004-05-01,96.8705
2004-06-01,96.0905
2004-07-01,96.9593
2004-08-01,97.4035
2004-09-01,97.4530
2004-10-01,98.5578
2004-11-01,98.5077
2004-12-01,99.2420
2005-01-01,100.0043
2005-02-01,100.8894
2005-03-01,100.4052
2005-04-01,100.7486
2005-05-01,101.0534
2005-06-01,101.2490
2005-07-01,100.8958
2005-08-01,101.3738
2005-09-01,100.3058
2005-10-01,101.8867
2005-11-01,102.7397
2005-12-01,102.9319
2006-01-01,103.7570
2006-02-01,103.4087
2006-03-01,103.2983
2006-04-01,103.8215
2006-05-01,103.4278
2006-06-01,103.8717
2006-07-01,103.6162
2006-08-01,104.3890
2006-09-01,104.4751
2006-10-01,104.0757
2006-11-01,104.1192
2006-12-01,105.7423
2007-01-01,105.1768
2007-02-01,105.6340
2007-03-01,106.6056
2007-04-01,107.3663
2007-05-01,107.2952
2007-06-01,107.6918
2007-07-01,107.8278
2007-08-01,107.5451
2007-09-01,108.0953
2007-10-01,107.7732
2007-11-01,108.3901
2007-12-01,108.5950
2008-01-01,108.1857
2008-02-01,107.4764
2008-03-01,107.1653
2008-04-01,105.9874
2008-05-01,105.4575
2008-06-01,104.7399
2008-07-01,103.4841
2008-08-01,102.1936
2008-09-01,98.5323
2008-10-01,98.0011
2008-11-01,95.6411
2008-12-01,92.2682
2009-01-01,89.4245
2009-02-01,89.3720
2009-03-01,87.7958
2009-04-01,87.2207
2009-05-01,86.3033
2009-06-01,86.0178
2009-07-01,87.4058
2009-08-01,88.4677
2009-09-01,89.2644
2009-10-01,89.4082
2009-11-01,90.3289
2009-12-01,90.1721
2010-01-01,91.3035
2010-02-01,91.3271
2010-03-01,92.4819
2010-04-01,93.3263
2010-05-01,94.6417
2010-06-01,94.5150
2010-07-01,95.0853
2010-08-01,95.2487
2010-09-01,95.2698
2010-10-01,95.3367
2010-11-01,95.3808
2010-12-01,95.8623
2011-01-01,96.0824
2011-02-01,96.2363
2011-03-01,96.8538
2011-04-01,96.2957
2011-05-01,96.4189
2011-06-01,96.5073
2011-07-01,97.1315
2011-08-01,97.5123
2011-09-01,97.8310
2011-10-01,98.3836
2011-11-01,98.1184
2011-12-01,98.8301
2012-01-01,99.7118
2012-02-01,100.0821
2012-03-01,99.6028
2012-04-01,100.2100
2012-05-01,99.8430
2012-06-01,100.1032
2012-07-01,100.0189
2012-08-01,99.8422
2012-09-01,99.8216
2012-10-01,99.4837
2012-11-01,100.2038
2012-12-01,101.0769
2013-01-01,100.7339
2013-02-01,101.2919
2013-03-01,101.1885
2013-04-01,100.7916
2013-05-01,101.0433
2013-06-01,101.3095
2013-07-01,100.2262
2013-08-01,101.1791
2013-09-01,101.2679
2013-10-01,101.3921
2013-11-01,101.3925
2013-12-01,101.4164
2014-01-01,100.2006
2014-02-01,101.3034
2014-03-01,102.1737
2014-04-01,102.0449
2014-05-01,102.2912
2014-06-01,102.6511
2014-07-01,103.0383
2014-08-01,102.5990
2014-09-01,102.6166
2014-10-01,102.5302
2014-11-01,103.4249
2014-12-01,103.1216
2015-01-01,102.5630
2015-02-01,101.9932
2015-03-01,102.2575
2015-04-01,102.1754
2015-05-01,102.0433
2015-06-01,101.6539
2015-07-01,102.2682
2015-08-01,102.0202
2015-09-01,101.6251
2015-10-01,101.5789
2015-11-01,101.3394
2015-12-01,101.1156
2016-01-01,101.6916
2016-02-01,101.3068
2016-03-01,101.0894
2016-04-01,100.7360
2016-05-01,100.6132
2016-06-01,100.9124
2016-07-01,101.0765
2016-08-01,100.7554
2016-09-01,101.0440
2016-10-01,101.2745
2016-11-01,101.3367
2016-12-01,101.6959
2017-01-01,102.0354
2017-02-01,102.1644
2017-03-01,101.7367
2017-04-01,102.9279
2017-05-01,102.5104
2017-06-01,102.6619
2017-07-01,102.4214
2017-08-01,102.1998
2017-09-01,102.0254
2017-10-01,103.3783
2017-11-01,103.7057
2017-12-01,103.7131
2018-01-01,103.1640
2018-02-01,104.6044
2018-03-01,104.4574
2018-04-01,105.0115
2018-05-01,103.9259
2018-06-01,104.7933
