DATE,RSAFS
2008-11-01,339350
2008-12-01,332091
2009-01-01,336929
2009-02-01,335576
2009-03-01,329747
2009-04-01,331352
2009-05-01,334256
2009-06-01,339883
2009-07-01,340517
2009-08-01,346668
2009-09-01,338507
2009-10-01,341654
2009-11-01,344375
2009-12-01,346072
2010-01-01,346174
2010-02-01,346795
2010-03-01,354607
2010-04-01,357268
2010-05-01,354018
2010-06-01,354127
2010-07-01,354587
2010-08-01,356718
2010-09-01,359298
2010-10-01,363515
2010-11-01,367351
2010-12-01,369260
2011-01-01,371744
2011-02-01,375058
2011-03-01,378449
2011-04-01,380789
2011-05-01,380302
2011-06-01,383199
2011-07-01,382792
2011-08-01,383929
2011-09-01,387714
2011-10-01,389938
2011-11-01,391587
2011-12-01,391854
2012-01-01,395366
2012-02-01,400182
2012-03-01,401799
2012-04-01,399923
2012-05-01,399347
2012-06-01,396145
2012-07-01,397474
2012-08-01,402153
2012-09-01,405378
2012-10-01,405898
2012-11-01,407636
2012-12-01,408806
2013-01-01,412271
2013-02-01,416974
2013-03-01,414091
2013-04-01,412353
2013-05-01,414215
2013-06-01,415691
2013-07-01,418505
2013-08-01,417542
2013-09-01,417422
2013-10-01,419541
2013-11-01,420732
2013-12-01,422962
2014-01-01,418788
2014-02-01,424443
2014-03-01,428973
2014-04-01,433678
2014-05-01,434400
2014-06-01,435682
2014-07-01,436286
2014-08-01,439735
2014-09-01,438784
2014-10-01,440285
2014-11-01,441132
2014-12-01,438575
2015-01-01,435857
2015-02-01,434296
2015-03-01,441665
2015-04-01,442078
2015-05-01,446226
2015-06-01,447270
2015-07-01,450256
2015-08-01,450167
2015-09-01,448739
2015-10-01,448090
2015-11-01,449452
2015-12-01,451078
2016-01-01,447973
2016-02-01,451101
2016-03-01,451018
2016-04-01,453537
2016-05-01,455733
2016-06-01,460013
2016-07-01,459901
2016-08-01,460076
2016-09-01,462283
2016-10-01,464228
2016-11-01,464153
2016-12-01,467928
2017-01-01,473357
2017-02-01,471165
2017-03-01,472041
2017-04-01,475145
2017-05-01,473752
2017-06-01,475415
2017-07-01,477064
2017-08-01,477190
2017-09-01,486157
2017-10-01,488866
2017-11-01,492633
2017-12-01,492643
2018-01-01,492034
2018-02-01,492530
2018-03-01,496077
2018-04-01,497776
2018-05-01,504340
2018-06-01,506787
